,date,open,high,low,Close
13292,1621248600000.0,0.69721,0.7019,0.68679,0.68848
13293,1621248900000.0,0.6883,0.69141,0.68447,0.68811
13294,1621249200000.0,0.68856,0.69263,0.68139,0.68702
13295,1621249500000.0,0.6871,0.69068,0.68415,0.68955
13296,1621249800000.0,0.68908,0.69491,0.68814,0.69237
13297,1621250100000.0,0.69237,0.70176,0.69236,0.70131
13298,1621250400000.0,0.70139,0.70278,0.69802,0.69821
13299,1621250700000.0,0.69812,0.70151,0.6954,0.69637
13300,1621251000000.0,0.69668,0.70385,0.6966,0.6996
13301,1621251300000.0,0.69972,0.70479,0.69886,0.7041
13302,1621251600000.0,0.7041,0.7066,0.70127,0.70301
13303,1621251900000.0,0.70327,0.70327,0.69826,0.69896
13304,1621252200000.0,0.69922,0.70471,0.699,0.70181
13305,1621252500000.0,0.70203,0.7066,0.7016,0.70581
13306,1621252800000.0,0.70549,0.70639,0.70097,0.70296
13307,1621253100000.0,0.7035,0.705,0.70057,0.705
13308,1621253400000.0,0.70499,0.71,0.704,0.71
13309,1621253700000.0,0.70997,0.71,0.70001,0.70093
13310,1621254000000.0,0.70105,0.70435,0.6998,0.7014
13311,1621254300000.0,0.7014,0.70268,0.69554,0.69586
13312,1621254600000.0,0.69617,0.69844,0.6933,0.69436
13313,1621254900000.0,0.69424,0.69574,0.68819,0.69015
13314,1621255200000.0,0.6908,0.69954,0.68933,0.69619
13315,1621255500000.0,0.69618,0.69852,0.69403,0.69705
13316,1621255800000.0,0.69727,0.69762,0.69233,0.69556
13317,1621256100000.0,0.6953,0.69708,0.695,0.69563
13318,1621256400000.0,0.69582,0.69926,0.69327,0.6965
13319,1621256700000.0,0.69687,0.69687,0.688,0.69077
13320,1621257000000.0,0.69077,0.6909,0.68046,0.68087
13321,1621257300000.0,0.68099,0.68538,0.68099,0.68397
13322,1621257600000.0,0.68404,0.68689,0.68123,0.68145
13323,1621257900000.0,0.68173,0.68381,0.6766,0.67682
13324,1621258200000.0,0.67682,0.68281,0.67647,0.68232
13325,1621258500000.0,0.68205,0.68472,0.68043,0.6845
13326,1621258800000.0,0.68415,0.68999,0.68371,0.68527
13327,1621259100000.0,0.6849,0.68578,0.68,0.68139
13328,1621259400000.0,0.68133,0.68478,0.67876,0.68164
13329,1621259700000.0,0.68163,0.68762,0.68051,0.68601
13330,1621260000000.0,0.686,0.68963,0.68089,0.6818
13331,1621260300000.0,0.68141,0.68361,0.67546,0.67673
13332,1621260600000.0,0.67678,0.67999,0.67,0.67161
13333,1621260900000.0,0.67156,0.67445,0.66656,0.6674
13334,1621261200000.0,0.66701,0.66986,0.66409,0.66951
13335,1621261500000.0,0.66934,0.67472,0.66934,0.67073
13336,1621261800000.0,0.67074,0.67295,0.66622,0.66699
13337,1621262100000.0,0.66745,0.67306,0.6597,0.67172
13338,1621262400000.0,0.67181,0.67745,0.67091,0.67177
13339,1621262700000.0,0.6713,0.6779,0.67091,0.67651
13340,1621263000000.0,0.67625,0.67706,0.67252,0.67533
13341,1621263300000.0,0.6752,0.67669,0.67309,0.67445
13342,1621263600000.0,0.67424,0.67995,0.66962,0.67168
13343,1621263900000.0,0.67088,0.675,0.6681,0.67
13344,1621264200000.0,0.66971,0.67137,0.66451,0.66646
13345,1621264500000.0,0.66727,0.67197,0.66219,0.66219
13346,1621264800000.0,0.66204,0.66827,0.66195,0.66322
13347,1621265100000.0,0.66326,0.67,0.66278,0.66529
13348,1621265400000.0,0.66482,0.66798,0.66042,0.66071
13349,1621265700000.0,0.66055,0.66215,0.65234,0.65366
13350,1621266000000.0,0.65484,0.65885,0.65119,0.65489
13351,1621266300000.0,0.65486,0.65822,0.64909,0.64909
13352,1621266600000.0,0.6491,0.65311,0.64617,0.64668
13353,1621266900000.0,0.64703,0.65432,0.64591,0.64878
13354,1621267200000.0,0.6488,0.66262,0.64496,0.65616
13355,1621267500000.0,0.65536,0.6642,0.6552,0.66199
13356,1621267800000.0,0.66199,0.66199,0.64941,0.65137
13357,1621268100000.0,0.65129,0.66,0.6505,0.65648
13358,1621268400000.0,0.65639,0.66832,0.655,0.66832
13359,1621268700000.0,0.6683,0.67031,0.66394,0.66961
13360,1621269000000.0,0.66995,0.6705,0.658,0.65876
13361,1621269300000.0,0.65889,0.66339,0.657,0.66091
13362,1621269600000.0,0.66099,0.66329,0.65752,0.65913
13363,1621269900000.0,0.65913,0.66498,0.653,0.65395
13364,1621270200000.0,0.65392,0.66005,0.65126,0.65649
13365,1621270500000.0,0.65703,0.65703,0.65,0.65075
13366,1621270800000.0,0.65103,0.65842,0.65,0.65465
13367,1621271100000.0,0.65393,0.65578,0.64336,0.64336
13368,1621271400000.0,0.64397,0.64801,0.64,0.64079
13369,1621271700000.0,0.64082,0.64755,0.64024,0.64728
13370,1621272000000.0,0.64691,0.64886,0.63642,0.63777
13371,1621272300000.0,0.63709,0.6456,0.63499,0.64331
13372,1621272600000.0,0.64331,0.6542,0.64253,0.64996
13373,1621272900000.0,0.64966,0.65768,0.64877,0.65278
13374,1621273200000.0,0.65217,0.65488,0.64593,0.64674
13375,1621273500000.0,0.64674,0.6573,0.64674,0.6555
13376,1621273800000.0,0.65552,0.6568,0.64902,0.65094
13377,1621274100000.0,0.65116,0.65225,0.64735,0.64835
13378,1621274400000.0,0.64775,0.6531,0.64139,0.65237
13379,1621274700000.0,0.65235,0.6579,0.65076,0.65417
13380,1621275000000.0,0.65415,0.65834,0.65107,0.6542
13381,1621275300000.0,0.6543,0.65485,0.648,0.65023
