date,open,high,low,close
1620465900000.0,1.6222,1.626,1.621,1.6239
1620466200000.0,1.6235,1.625,1.6181,1.6199
1620466500000.0,1.6196,1.6282,1.6188,1.627
1620466800000.0,1.6271,1.6271,1.6225,1.6233
1620467100000.0,1.6233,1.6233,1.6183,1.6197
1620467400000.0,1.6198,1.6263,1.6198,1.6249
1620467700000.0,1.6249,1.63,1.6233,1.6278
1620468000000.0,1.6277,1.6281,1.6219,1.6223
1620468300000.0,1.6223,1.6295,1.622,1.6293
1620468600000.0,1.6292,1.631,1.6237,1.6282
1620468900000.0,1.6282,1.6331,1.6256,1.6262
1620469200000.0,1.6263,1.6276,1.6201,1.6232
1620469500000.0,1.6232,1.6235,1.6175,1.6187
1620469800000.0,1.6188,1.6219,1.6119,1.614
1620470100000.0,1.614,1.6171,1.6102,1.616
1620470400000.0,1.616,1.6172,1.6066,1.607
1620470700000.0,1.6072,1.6149,1.605,1.611
1620471000000.0,1.611,1.6131,1.6076,1.6118
1620471300000.0,1.6118,1.6176,1.6118,1.6142
1620471600000.0,1.6143,1.6185,1.6101,1.6136
1620471900000.0,1.6134,1.618,1.6115,1.615
1620472200000.0,1.615,1.615,1.6104,1.6129
1620472500000.0,1.6129,1.6138,1.6063,1.6106
1620472800000.0,1.6106,1.6155,1.6088,1.609
1620473100000.0,1.6093,1.614,1.608,1.6132
1620473400000.0,1.6133,1.6154,1.6107,1.6108
1620473700000.0,1.6107,1.6119,1.6057,1.6061
1620474000000.0,1.6058,1.6082,1.6027,1.606
1620474300000.0,1.6059,1.6117,1.6059,1.6077
1620474600000.0,1.6076,1.6078,1.5969,1.5988
1620474900000.0,1.5988,1.6016,1.5801,1.5835
1620475200000.0,1.5836,1.5862,1.573,1.5825
1620475500000.0,1.5825,1.5851,1.5809,1.5842
1620475800000.0,1.5842,1.5859,1.5835,1.5852
1620476100000.0,1.5853,1.5944,1.5835,1.5937
1620476400000.0,1.5937,1.5954,1.5907,1.5924
1620476700000.0,1.5924,1.5929,1.5852,1.5864
1620477000000.0,1.5865,1.5968,1.585,1.5963
1620477300000.0,1.5964,1.5968,1.5916,1.593
1620477600000.0,1.593,1.5952,1.587,1.5952
1620477900000.0,1.5952,1.6024,1.5941,1.6018
1620478200000.0,1.6016,1.6072,1.6001,1.6027
1620478500000.0,1.6027,1.6052,1.5976,1.6008
1620478800000.0,1.6008,1.6083,1.6008,1.6042
1620479100000.0,1.6041,1.6046,1.5981,1.6002
1620479400000.0,1.6002,1.6051,1.5993,1.6018
1620479700000.0,1.6015,1.6061,1.601,1.6037
1620480000000.0,1.6037,1.605,1.5987,1.6012
1620480300000.0,1.601,1.6029,1.59,1.5923
1620480600000.0,1.5922,1.5956,1.59,1.5946
1620480900000.0,1.5948,1.5999,1.5927,1.5999
1620481200000.0,1.5999,1.6,1.595,1.5954
1620481500000.0,1.5954,1.6099,1.5934,1.6098
1620481800000.0,1.6098,1.616,1.6078,1.6131
1620482100000.0,1.6132,1.6157,1.605,1.6067
1620482400000.0,1.6068,1.6103,1.6,1.6005
1620482700000.0,1.6004,1.6058,1.6001,1.6028
1620483000000.0,1.6028,1.6064,1.6011,1.6012
1620483300000.0,1.6014,1.6023,1.5979,1.5995
1620483600000.0,1.5994,1.6056,1.5988,1.6055
1620483900000.0,1.6055,1.6056,1.601,1.6027
1620484200000.0,1.6027,1.6028,1.5954,1.6
1620484500000.0,1.6,1.6015,1.5965,1.601
1620484800000.0,1.6009,1.6092,1.6,1.609
1620485100000.0,1.6091,1.6133,1.6059,1.6113
1620485400000.0,1.6113,1.6149,1.6086,1.6133
1620485700000.0,1.6132,1.618,1.6109,1.618
1620486000000.0,1.6179,1.6185,1.611,1.6126
1620486300000.0,1.6126,1.6127,1.6084,1.6094
1620486600000.0,1.6094,1.6095,1.605,1.6078
1620486900000.0,1.6077,1.608,1.6039,1.6042
1620487200000.0,1.6042,1.6043,1.6,1.6009
1620487500000.0,1.6011,1.6024,1.5963,1.602
1620487800000.0,1.602,1.6023,1.5901,1.591
1620488100000.0,1.5911,1.594,1.582,1.5843
1620488400000.0,1.5843,1.5884,1.5765,1.5826
1620488700000.0,1.5826,1.583,1.5704,1.5705
1620489000000.0,1.5705,1.5831,1.5701,1.5753
1620489300000.0,1.5753,1.577,1.5627,1.5683
1620489600000.0,1.5684,1.58,1.5677,1.5795
1620489900000.0,1.5795,1.5886,1.5779,1.5886
1620490200000.0,1.5885,1.595,1.5857,1.5938
1620490500000.0,1.5939,1.5985,1.5883,1.5947
1620490800000.0,1.5946,1.5999,1.5904,1.5989
1620491100000.0,1.5986,1.5993,1.5864,1.5892
1620491400000.0,1.5889,1.5936,1.5826,1.5863
1620491700000.0,1.5863,1.59,1.5818,1.584
1620492000000.0,1.5839,1.5869,1.5776,1.5802
1620492300000.0,1.5801,1.5859,1.575,1.5833
1620492600000.0,1.5832,1.5847,1.566,1.5787
1620492900000.0,1.5786,1.5834,1.5754,1.5769
1620493200000.0,1.5771,1.5799,1.5611,1.5678
1620493500000.0,1.5678,1.5822,1.567,1.5798
1620493800000.0,1.5798,1.5861,1.5791,1.5845
1620494100000.0,1.5844,1.5905,1.584,1.5905
1620494400000.0,1.5905,1.5947,1.5875,1.5906
1620494700000.0,1.5905,1.5926,1.5844,1.5897
1620495000000.0,1.5898,1.5954,1.587,1.5938
1620495300000.0,1.5938,1.598,1.5936,1.5951
1620495600000.0,1.5951,1.6,1.5944,1.5957
1620495900000.0,1.5955,1.6036,1.5945,1.6025
1620496200000.0,1.6024,1.605,1.5974,1.603
1620496500000.0,1.603,1.6066,1.6014,1.6016
1620496800000.0,1.6016,1.606,1.5939,1.5942
1620497100000.0,1.5941,1.5962,1.5899,1.5949
1620497400000.0,1.5949,1.595,1.5906,1.5925
1620497700000.0,1.5924,1.594,1.5847,1.5862
1620498000000.0,1.5863,1.5897,1.585,1.5891
1620498300000.0,1.5887,1.5956,1.5878,1.5956
1620498600000.0,1.5955,1.6006,1.5937,1.6001
1620498900000.0,1.6,1.6029,1.5969,1.5973
1620499200000.0,1.5976,1.5994,1.5916,1.5979
1620499500000.0,1.5982,1.6089,1.5963,1.6034
1620499800000.0,1.6036,1.6083,1.6033,1.6079
1620500100000.0,1.6075,1.6119,1.6023,1.6031
1620500400000.0,1.6031,1.6091,1.5984,1.6014
1620500700000.0,1.6014,1.6091,1.6,1.6069
1620501000000.0,1.6071,1.6085,1.6019,1.605
1620501300000.0,1.6047,1.6099,1.6029,1.6098
1620501600000.0,1.6098,1.6118,1.6044,1.6045
1620501900000.0,1.6045,1.6081,1.6018,1.6073
1620502200000.0,1.6073,1.613,1.6056,1.6064
1620502500000.0,1.6063,1.6141,1.6063,1.6141
1620502800000.0,1.614,1.6175,1.61,1.6109
1620503100000.0,1.6112,1.6164,1.6091,1.6129
1620503400000.0,1.6129,1.6186,1.6126,1.6185
1620503700000.0,1.6184,1.6185,1.6132,1.6177
1620504000000.0,1.6177,1.62,1.6106,1.6124
1620504300000.0,1.6122,1.6155,1.6104,1.6112
1620504600000.0,1.6112,1.6136,1.6063,1.6126
1620504900000.0,1.6128,1.6181,1.612,1.6144
1620505200000.0,1.6144,1.6144,1.5982,1.6001
